Month,Year,Ending MAU,Free Users (Est),Pheastmode Users (Est),Apex Users (Est),SecureID Pro Users (Est),Pheastmode Revenue (Est),Apex Revenue (Est),SecureID Pro Revenue (Est),Total Subscription Revenue (Est),Ad Revenue (Est),Other Revenue (Est),Total Monthly Revenue (Est)
1,1,978,968,8,1,0,34,9,4,47,2,0,49
6,1,1597,1517,64,13,3,263,91,29,383,4,0,387
12,1,2886,2453,289,115,29,1186,820,263,2269,6,0,2275
18,2,4138,3414,517,145,62,2126,1030,565,3721,13,1250,4984
24,2,5530,4148,830,387,166,3410,2752,1512,7674,15,2000,9689
30,3,6541,4744,1145,507,145,4705,3604,1323,9632,19,3250,12901
36,3,7538,4899,1508,678,452,6196,4823,4121,15140,24,5000,20164
